Category	ID	Name	PValue	QValueFDRBY	QValueFDRBH	QValueBonferroni	TotalGenes	GenesInTerm	GenesInQuery	GenesInTermInQuery	Source	URL	Genes
GeneOntologyMolecularFunction	GO:0050839	cell adhesion molecule binding	2.85692966056243e-07	0.00151656609211648	0.000211127101915563	0.000211127101915563	19963	600	206	22	 	 	CDHR2|ADAM23|SPTBN1|SRC|CDHR5|PFKP|S100P|NDRG1|PTPRH|CGN|SFRP2|FN1|ANXA1|OLFM4|CLDN7|GPRC5A|EGFR|CSNK1D|TSPAN8|CDH4|CDH17|TJP3
GeneOntologyMolecularFunction	GO:0045296	cadherin binding	2.7621371559049e-06	0.00733123326458756	0.00102060967910686	0.00204121935821372	19963	341	206	15	 	 	SPTBN1|SRC|CDHR5|PFKP|S100P|NDRG1|PTPRH|CGN|ANXA1|OLFM4|GPRC5A|EGFR|CSNK1D|CDH4|CDH17
GeneOntologyMolecularFunction	GO:0051015	actin filament binding	7.81061992467638e-06	0.0138205728334729	0.00192401604144528	0.00577204812433584	19963	240	206	12	 	 	MYO1A|MYO7B|SPTA1|SPTBN1|TTN|VILL|EPS8L3|VIL1|SYNE1|USH1C|EGFR|MYOM2
GeneOntologyMolecularFunction	GO:0005298	proline:sodium symporter activity	1.06657140998901e-05	0.0141544089931476	0.00197049067995469	0.00788196271981877	19963	5	206	3	 	 	SLC38A1|SLC38A2|SLC6A20
GeneOntologyMolecularFunction	GO:0003779	actin binding	1.68484885060906e-05	0.0178876272135598	0.00249020660120019	0.012451033006001	19963	497	206	17	 	 	CEACAM5|MYO1A|MYO7B|SPTA1|SPTBN1|LRRK2|CEACAM7|CEACAM6|TTN|VILL|CGN|EPS8L3|VIL1|SYNE1|USH1C|EGFR|MYOM2
GeneOntologyMolecularFunction	GO:0005283	amino acid:sodium symporter activity	3.78016905418258e-05	0.0334442734635659	0.00465590821840154	0.0279354493104092	19963	19	206	4	 	 	SLC38A1|SLC38A2|SLC6A20|SLC6A14
GeneOntologyMolecularFunction	GO:0034235	GPI anchor binding	8.36112236470406e-05	0.0623891699953916	0.00868544056241021	0.061788694275163	19963	23	206	4	 	 	CEACAM5|CEACAM7|CEACAM6|VNN1
GeneOntologyMolecularFunction	GO:0015655	alanine:sodium symporter activity	0.000107077533741373	0.0623891699953916	0.00868544056241021	0.0791302974348745	19963	2	206	2	 	 	SLC38A1|SLC38A2
GeneOntologyMolecularFunction	GO:0031751	D4 dopamine receptor binding	0.000107077533741373	0.0623891699953916	0.00868544056241021	0.0791302974348745	19963	2	206	2	 	 	PPP1R1B|CLIC6
GeneOntologyMolecularFunction	GO:0005416	amino acid:cation symporter activity	0.00011752964225183	0.0623891699953916	0.00868544056241021	0.0868544056241021	19963	25	206	4	 	 	SLC38A1|SLC38A2|SLC6A20|SLC6A14
GeneOntologyMolecularFunction	GO:0051861	glycolipid binding	0.000146951789735209	0.070915960319435	0.00987248841948355	0.108597372614319	19963	49	206	5	 	 	CEACAM5|LAMA1|CEACAM7|CEACAM6|VNN1
GeneOntologyMolecularFunction	GO:0005343	organic acid:sodium symporter activity	0.000315750888933493	0.139677074285495	0.0194449922434876	0.233339906921851	19963	32	206	4	 	 	SLC38A1|SLC38A2|SLC6A20|SLC6A14
GeneOntologyMolecularFunction	GO:0015651	quaternary ammonium group transmembrane transporter activity	0.000362450292072214	0.14315825081228	0.019929620454007	0.267850765841366	19963	14	206	3	 	 	SLC44A4|SLC6A20|SLC6A14
GeneOntologyMolecularFunction	GO:0005200	structural constituent of cytoskeleton	0.000407287496127923	0.14315825081228	0.019929620454007	0.300985459638535	19963	130	206	7	 	 	SPTA1|SPTBN1|TTN|TUBA1B|VILL|KRT5|MYOM2
GeneOntologyMolecularFunction	GO:0005130	granulocyte colony-stimulating factor receptor binding	0.000449625156686664	0.14315825081228	0.019929620454007	0.332272990791445	19963	15	206	3	 	 	CEACAM5|CEACAM7|CEACAM6
GeneOntologyMolecularFunction	GO:0022858	alanine transmembrane transporter activity	0.000449625156686664	0.14315825081228	0.019929620454007	0.332272990791445	19963	15	206	3	 	 	SLC38A1|SLC38A2|SLC6A14
GeneOntologyMolecularFunction	GO:0005509	calcium ion binding	0.00045846217553196	0.14315825081228	0.019929620454007	0.338803547718118	19963	777	206	19	 	 	PRSS3|REG4|CDHR2|SPTA1|CDHR5|TTN|LRP1B|CAPN8|FREM2|S100P|VIL1|ANXA1|PCLO|DUOX2|VWCE|DLL1|CELSR1|CDH4|CDH17
GeneOntologyMolecularFunction	GO:0031750	D3 dopamine receptor binding	0.00062720108164691	0.184967781339781	0.0257500888520592	0.463501599337066	19963	4	206	2	 	 	PPP1R1B|CLIC6
GeneOntologyMolecularFunction	GO:0042803	protein homodimerization activity	0.000702776930469547	0.196347641791893	0.0273343237693155	0.519352151616995	19963	805	206	19	 	 	CEACAM5|PDGFA|LRRK2|CEACAM7|CEACAM6|HNF4A|S100P|TOX3|VIL1|HNF1A|HNF1B|GDF15|SYNE1|NTRK2|BCAS1|MUC13|TFRC|SDCBP2|G6PD
GeneOntologyMolecularFunction	GO:0046943	carboxylic acid transmembrane transporter activity	0.000793356427176452	0.202715629963412	0.0282208363286258	0.586290399683398	19963	189	206	8	 	 	CEACAM5|CEACAM7|CEACAM6|SLC38A1|SLC38A2|SLC38A4|SLC6A20|SLC6A14
GeneOntologyMolecularFunction	GO:0005342	organic acid transmembrane transporter activity	0.000821035849952803	0.202715629963412	0.0282208363286258	0.606745493115122	19963	190	206	8	 	 	CEACAM5|CEACAM7|CEACAM6|SLC38A1|SLC38A2|SLC38A4|SLC6A20|SLC6A14
GeneOntologyMolecularFunction	GO:0044877	protein-containing complex binding	0.000840133151867074	0.202715629963412	0.0282208363286258	0.620858399229768	19963	1726	206	32	 	 	CEACAM5|MYO1A|PDGFA|MYO7B|ADAM23|SPTA1|SPTBN1|CFTR|SRC|LRRK2|CEACAM7|PDX1|CEACAM6|PFKP|HNF4A|TTN|VILL|FZD5|NGFR|EPS8L3|DYNC1I1|VIL1|HNF1B|SFRP2|FN1|SYNE1|USH1C|TFRC|EGFR|TSPAN8|MYOM2|CDH17
GeneOntologyMolecularFunction	GO:0015175	neutral amino acid transmembrane transporter activity	0.00128028596622551	0.293240887273745	0.0408232117380738	0.946131329040655	19963	46	206	4	 	 	SLC38A1|SLC38A2|SLC6A20|SLC6A14
GeneOntologyMolecularFunction	GO:0015370	solute:sodium symporter activity	0.00135307624083184	0.293240887273745	0.0408232117380738	0.999923341974731	19963	79	206	5	 	 	SLC38A1|SLC38A2|SLC5A1|SLC6A20|SLC6A14
GeneOntologyMolecularFunction	GO:0008289	lipid binding	0.0015392905552648	0.293240887273745	0.0408232117380738	1	19963	996	206	21	 	 	CEACAM5|CYP3A5|SPTBN1|SRC|LAMA1|CEACAM7|CEACAM6|HNF4A|ZCCHC14|VILL|VNN1|FZD5|DMBT1|BAIAP2L2|VIL1|ANXA1|PCLO|LCN2|SMO|WDFY3|SDCBP2
GeneOntologyMolecularFunction	GO:0031749	D2 dopamine receptor binding	0.0015467522715373	0.293240887273745	0.0408232117380738	1	19963	6	206	2	 	 	PPP1R1B|CLIC6
GeneOntologyMolecularFunction	GO:0005295	neutral amino acid:sodium symporter activity	0.0015467522715373	0.293240887273745	0.0408232117380738	1	19963	6	206	2	 	 	SLC38A1|SLC38A2
GeneOntologyMolecularFunction	GO:0017083	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity	0.0015467522715373	0.293240887273745	0.0408232117380738	1	19963	6	206	2	 	 	FUT3|FUT6
GeneOntologyMolecularFunction	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.00164938708187185	0.301916177727155	0.0420309328794241	1	19963	1427	206	27	 	 	SOX9|CDX1|PEG3|PDX1|GATA6|MECOM|FOXN3|FOXA3|HNF4A|HNF4G|ZEB2|HOXA3|HOXB6|HOXC4|BBX|NFE2L2|GLI2|ZNF282|HNF1A|HNF1B|DEAF1|SALL4|SKI|ZNF750|KMT2D|TP63|PAX7
GeneOntologyBiologicalProcess	GO:0060429	epithelium development	1.52618562404069e-19	6.92454992008709e-15	7.61566626396304e-16	7.61566626396304e-16	20720	1979	205	66	 	 	TNIK|SOX9|SPRY2|CDX1|CEACAM5|PDGFA|CDHR2|CES1|ABCA12|CFTR|SRC|LAMA1|CEACAM7|PDX1|GATA6|CEACAM6|MECOM|SSBP3|FOXA3|HNF4A|TTN|ZEB2|ST14|FREM2|FZD5|GLI2|CGN|NGFR|DMBT1|CCDC40|VIL1|KRT5|HNF1A|KRT7|HNF1B|SFRP2|DEAF1|FN1|RASA3|ANXA1|FA2H|AGR2|AGR3|REG1A|SALL4|CLDN3|LCN2|SKI|SLC44A4|DLL1|USH1C|CELSR1|KMT2D|EGFR|TP63|SERPINE1|LRP5|SMO|PAX7|CSMD1|MUC1|MUC2|SDCBP2|G6PD|HYDIN|TJP3
GeneOntologyBiologicalProcess	GO:0030855	epithelial cell differentiation	4.25422211628409e-17	9.6510453745967e-13	1.06142841801288e-13	2.12285683602576e-13	20720	1051	205	45	 	 	SOX9|SPRY2|CDX1|CEACAM5|CDHR2|CES1|ABCA12|CFTR|SRC|LAMA1|CEACAM7|PDX1|GATA6|CEACAM6|FOXA3|HNF4A|ZEB2|ST14|FZD5|GLI2|CGN|DMBT1|VIL1|KRT5|HNF1A|KRT7|HNF1B|FN1|ANXA1|FA2H|AGR2|AGR3|REG1A|CLDN3|SLC44A4|DLL1|USH1C|TP63|SERPINE1|LRP5|SMO|MUC1|MUC2|HYDIN|TJP3
GeneOntologyBiologicalProcess	GO:0048729	tissue morphogenesis	1.65866151729212e-14	2.50853812627064e-10	2.75890699042922e-11	8.27672097128767e-11	20720	1132	205	43	 	 	TNIK|SOX9|SPRY2|CEACAM5|GCNT3|PDGFA|ABCA12|SRC|LAMA1|CEACAM7|PDX1|GATA6|CEACAM6|FOXA3|TTN|ZEB2|ST14|FREM2|FZD5|GLI2|NGFR|CCDC40|HNF1A|TRIM15|HNF1B|SFRP2|DEAF1|FN1|RASA3|SALL4|LCN2|SKI|DLL1|CELSR1|KMT2D|EGFR|TP63|LRP5|SMO|PAX7|CSMD1|SDCBP2|G6PD
GeneOntologyBiologicalProcess	GO:0002065	columnar/cuboidal epithelial cell differentiation	6.84692543503648e-14	7.76640079476337e-10	8.54153948020801e-11	3.4166157920832e-10	20720	193	205	19	 	 	SOX9|CDX1|CFTR|SRC|PDX1|GATA6|HNF4A|FZD5|DMBT1|HNF1A|HNF1B|AGR2|AGR3|REG1A|DLL1|TP63|SERPINE1|SMO|MUC2
GeneOntologyBiologicalProcess	GO:0048565	digestive tract development	1.72812413506942e-13	1.56815549208404e-09	1.72466788679928e-10	8.62333943399641e-10	20720	261	205	21	 	 	SOX9|CLDN18|RELN|CDX1|PDGFA|SRC|PDX1|GATA6|HMGCS2|FZD5|GLI2|CCDC40|HNF1B|SFRP2|AGR2|AGR3|REG1A|DLL1|EGFR|TP63|SMO
GeneOntologyBiologicalProcess	GO:0035295	tube development	3.93917230303e-13	2.97877650294571e-09	3.27607829868661e-10	1.96564697921197e-09	20720	1880	205	54	 	 	SOX9|CLDN18|SPRY2|RELN|CDX1|CEACAM5|DDAH1|GIPC2|PDGFA|ABCA12|CFTR|SRC|LAMA1|CEACAM7|PDX1|GATA6|CEACAM6|MECOM|HMGCS2|SSBP3|FOXA3|ZEB2|ST14|HOXA3|GJB1|NFE2L2|FZD5|GLI2|NGFR|CCDC40|HNF1B|SFRP2|DEAF1|FN1|RASA3|ANXA1|NTRK2|AGR2|AGR3|REG1A|SALL4|CLDN7|LCN2|SKI|DLL1|CELSR1|EGFR|TP63|EIF4G1|SERPINE1|LRP5|SMO|PAX7|CSMD1
GeneOntologyBiologicalProcess	GO:0048732	gland development	7.03955966836977e-13	4.56280224476048e-09	5.01820039216645e-10	3.51274027451651e-09	20720	851	205	35	 	 	SOX9|CDX1|CEACAM5|PDGFA|CFTR|SRC|LAMA1|CEACAM7|PDX1|GATA6|CEACAM6|HMGCS2|FOXA3|HNF4A|ZEB2|HOXA3|NDRG1|FZD5|GLI2|MAD1L1|CCDC40|HNF1A|HNF1B|DEAF1|FN1|ANXA1|FA2H|DUOX2|REG1A|DLL1|EGFR|TP63|LRP5|SMO|CSMD1
GeneOntologyBiologicalProcess	GO:0002009	morphogenesis of an epithelium	1.19084374746484e-12	6.75381228735455e-09	7.42788787481197e-10	5.94231029984957e-09	20720	966	205	37	 	 	TNIK|SOX9|SPRY2|CEACAM5|PDGFA|ABCA12|SRC|LAMA1|CEACAM7|PDX1|GATA6|CEACAM6|ZEB2|ST14|FREM2|FZD5|GLI2|NGFR|CCDC40|HNF1B|SFRP2|DEAF1|FN1|RASA3|SALL4|LCN2|SKI|DLL1|CELSR1|KMT2D|EGFR|TP63|LRP5|SMO|CSMD1|SDCBP2|G6PD
GeneOntologyBiologicalProcess	GO:0009887	animal organ morphogenesis	2.92967877474942e-12	1.47693603699263e-08	1.62434412066662e-09	1.46190970859996e-08	20720	1729	205	50	 	 	SOX9|SPRY2|CDX1|CEACAM5|GCNT3|PDGFA|ABCA12|CFTR|SRC|LAMA1|LRRK2|CEACAM7|PDX1|GATA6|CEACAM6|MECOM|HMGCS2|FOXN3|TTN|PDCD4|HOXA3|HOXB6|HOXC4|FZD5|GLI2|NGFR|SDK1|CCDC40|HNF1A|HNF1B|SFRP2|FN1|NTRK2|DUOX2|CLDN7|SKI|SLC44A4|DLL1|USH1C|CELSR1|KMT2D|EGFR|TP63|SERPINE1|ANKRD11|LRP5|SMO|PAX7|CSMD1|CDH4
GeneOntologyBiologicalProcess	GO:0055123	digestive system development	5.11427196979892e-12	2.32042754183554e-08	2.55202171292966e-09	2.55202171292966e-08	20720	311	205	21	 	 	SOX9|CLDN18|RELN|CDX1|PDGFA|SRC|PDX1|GATA6|HMGCS2|FZD5|GLI2|CCDC40|HNF1B|SFRP2|AGR2|AGR3|REG1A|DLL1|EGFR|TP63|SMO
GeneOntologyBiologicalProcess	GO:0002067	glandular epithelial cell differentiation	1.84589253930183e-11	7.61373788480985e-08	8.37363979192375e-09	9.21100377111613e-08	20720	122	205	14	 	 	SOX9|CFTR|PDX1|GATA6|HNF4A|FZD5|HNF1A|HNF1B|AGR2|REG1A|DLL1|TP63|SMO|MUC2
GeneOntologyBiologicalProcess	GO:0040007	growth	2.57356971755305e-11	9.73058350029892e-08	1.07017607421581e-08	1.28421128905897e-07	20720	1528	205	45	 	 	SOX9|SPRY2|CEACAM5|CDHR2|SRC|CEACAM7|GATA6|CEACAM6|EVC|HNF4A|TTN|ZEB2|SH3BP4|GLI2|DMBT1|VIL1|KRT5|KRT7|HNF1B|SFRP2|FN1|ANXA1|GDF15|AGR2|DUOX2|AGR3|REG1A|SALL4|CLDN3|SKI|SLC44A4|DLL1|TFRC|SGK2|KMT2D|EGFR|EIF4G1|SERPINE1|ANKRD11|SMO|CDK11B|PAX7|SDCBP2|CDH4|G6PD
GeneOntologyBiologicalProcess	GO:0048598	embryonic morphogenesis	4.2470407625296e-10	1.48226983006769e-06	1.63021026192482e-07	2.11927334050227e-06	20720	1185	205	37	 	 	TNIK|SOX9|SPRY2|CDX1|PDX1|GATA6|MECOM|HMGCS2|HNF4A|ZEB2|ST14|HOXA3|FREM2|HOXB6|HOXC4|FZD5|GLI2|CCDC40|HNF1A|TRIM15|HNF1B|SFRP2|DEAF1|FN1|DYNC2H1|SALL4|CLDN7|SKI|SLC44A4|DLL1|USH1C|CELSR1|KMT2D|TP63|LRP5|SMO|SDCBP2
GeneOntologyBiologicalProcess	GO:0048871	multicellular organismal homeostasis	6.80508661913384e-10	2.2054124096063e-06	2.42552730210556e-07	3.39573822294779e-06	20720	722	205	28	 	 	SOX9|CLDN18|CEACAM5|CES1|ABCA12|CFTR|SRC|CEACAM7|CEACAM6|PIGR|HNF1A|FA2H|G0S2|ZG16B|CLDN3|MUC13|LCN2|DLL1|USH1C|TFF1|TFF3|TFRC|TP63|EIF4G1|ANKRD11|SMO|MUC2|TJP3
GeneOntologyBiologicalProcess	GO:0001889	liver development	9.36161253079903e-10	2.8316762295446e-06	3.11429643524581e-07	4.67144465286872e-06	20720	412	205	21	 	 	SOX9|CDX1|CEACAM5|CFTR|CEACAM7|PDX1|GATA6|CEACAM6|HMGCS2|FOXA3|HNF4A|ZEB2|FZD5|CCDC40|HNF1A|HNF1B|ANXA1|REG1A|DLL1|LRP5|SMO
GeneOntologyBiologicalProcess	GO:0035239	tube morphogenesis	1.13386146124815e-09	3.21532001382977e-06	3.53623043226766e-07	5.65796869162826e-06	20720	1467	205	41	 	 	SOX9|SPRY2|CDX1|CEACAM5|DDAH1|GIPC2|PDGFA|SRC|LAMA1|CEACAM7|GATA6|CEACAM6|MECOM|ZEB2|ST14|HOXA3|NFE2L2|FZD5|GLI2|NGFR|CCDC40|HNF1B|SFRP2|DEAF1|FN1|RASA3|ANXA1|NTRK2|AGR2|SALL4|CLDN7|LCN2|SKI|DLL1|CELSR1|EGFR|TP63|SERPINE1|LRP5|SMO|CSMD1
GeneOntologyBiologicalProcess	GO:0061008	hepaticobiliary system development	1.21358023388486e-09	3.23894642927155e-06	3.56221492181497e-07	6.05576536708546e-06	20720	418	205	21	 	 	SOX9|CDX1|CEACAM5|CFTR|CEACAM7|PDX1|GATA6|CEACAM6|HMGCS2|FOXA3|HNF4A|ZEB2|FZD5|CCDC40|HNF1A|HNF1B|ANXA1|REG1A|DLL1|LRP5|SMO
GeneOntologyBiologicalProcess	GO:0022612	gland morphogenesis	1.60382396703269e-09	4.04267087968655e-06	4.44615644194062e-07	8.00308159549313e-06	20720	201	205	15	 	 	SOX9|CEACAM5|PDGFA|SRC|LAMA1|CEACAM7|CEACAM6|GLI2|HNF1B|DUOX2|EGFR|TP63|LRP5|SMO|CSMD1
GeneOntologyBiologicalProcess	GO:0003309	type B pancreatic cell differentiation	2.26890797425531e-09	5.41810569205314e-06	5.95886883764948e-07	1.1321850791534e-05	20720	72	205	10	 	 	SOX9|CFTR|PDX1|GATA6|HNF4A|HNF1A|HNF1B|REG1A|DLL1|SMO
GeneOntologyBiologicalProcess	GO:0001894	tissue homeostasis	2.6927458908382e-09	6.10871084404914e-06	6.71840099764131e-07	1.34368019952826e-05	20720	395	205	20	 	 	SOX9|CLDN18|CEACAM5|ABCA12|SRC|CEACAM7|CEACAM6|PIGR|HNF1A|ZG16B|CLDN3|MUC13|USH1C|TFF1|TFF3|TFRC|ANKRD11|SMO|MUC2|TJP3
GeneOntologyBiologicalProcess	GO:0031018	endocrine pancreas development	3.19126904504703e-09	6.89490548099737e-06	7.58306311180222e-07	1.59244325347847e-05	20720	122	205	12	 	 	SOX9|CFTR|PDX1|GATA6|HNF4A|GLI2|HNF1A|HNF1B|ANXA1|REG1A|DLL1|SMO
GeneOntologyBiologicalProcess	GO:0060548	negative regulation of cell death	5.11150672513394e-09	1.05416950263888e-05	1.15938266174629e-06	2.55064185584184e-05	20720	1359	205	38	 	 	SOX9|SPRY2|CEACAM5|INPP5A|CFTR|SRC|LRRK2|PDX1|GATA6|CEACAM6|MECOM|PDCD4|NFE2L2|VNN1|GLI2|TOX3|NGFR|VIL1|HNF1A|HNF1B|SFRP2|FN1|ANXA1|NTRK2|AGR2|AGR3|CLDN7|LCN2|DLL1|TFRC|EGFR|TP63|EIF4G1|SERPINE1|SMO|CDK11B|PAX7|MUC1
GeneOntologyBiologicalProcess	GO:0035883	enteroendocrine cell differentiation	6.50479180403405e-09	1.2831864263226e-05	1.41125700444043e-06	3.245891110213e-05	20720	80	205	10	 	 	SOX9|CFTR|PDX1|GATA6|HNF4A|HNF1A|HNF1B|REG1A|DLL1|SMO
GeneOntologyBiologicalProcess	GO:0031016	pancreas development	1.59859019019436e-08	3.02210878966103e-05	3.32373543711245e-06	7.97696504906988e-05	20720	238	205	15	 	 	SOX9|CDX1|CFTR|PDX1|GATA6|HNF4A|GLI2|CCDC40|HNF1A|HNF1B|ANXA1|REG1A|DLL1|SMO|MSLN
GeneOntologyBiologicalProcess	GO:0001763	morphogenesis of a branching structure	1.70992507524777e-08	3.10328215825106e-05	3.41301045019455e-06	8.53252612548636e-05	20720	276	205	16	 	 	SOX9|SPRY2|PDGFA|SRC|LAMA1|LRRK2|ST14|FZD5|GLI2|HNF1B|SFRP2|CELSR1|TP63|LRP5|SMO|CSMD1
GeneOntologyBiologicalProcess	GO:0002064	epithelial cell development	2.11224180386339e-08	3.68599275912016e-05	4.05387946203013e-06	0.000105400866012783	20720	360	205	18	 	 	SOX9|ABCA12|CFTR|SRC|HNF4A|ST14|FZD5|CGN|HNF1A|HNF1B|FN1|CLDN3|DLL1|TP63|SMO|MUC2|HYDIN|TJP3
GeneOntologyBiologicalProcess	GO:0043009	chordate embryonic development	2.53751501193219e-08	4.22773011157221e-05	4.64968582152069e-06	0.000126621999095417	20720	1257	205	35	 	 	SOX9|CDX1|GATA6|MECOM|HMGCS2|SSBP3|FOXA3|TTN|LRP1B|ZEB2|ST14|HOXA3|HOXB6|HOXC4|FZD5|GLI2|DMBT1|HSD17B2|HNF1A|HNF1B|SFRP2|DEAF1|FN1|SALL4|SKI|DLL1|CELSR1|KMT2D|EGFR|ANKRD11|LRP5|SMO|CDK11B|PAX7|MUC1
GeneOntologyBiologicalProcess	GO:0043069	negative regulation of programmed cell death	2.60904214434027e-08	4.22773011157221e-05	4.64968582152069e-06	0.000130191203002579	20720	1198	205	34	 	 	SOX9|SPRY2|CEACAM5|CFTR|SRC|LRRK2|PDX1|GATA6|CEACAM6|MECOM|PDCD4|NFE2L2|VNN1|GLI2|TOX3|NGFR|VIL1|HNF1A|HNF1B|SFRP2|FN1|ANXA1|NTRK2|CLDN7|LCN2|DLL1|TFRC|EGFR|TP63|SERPINE1|SMO|CDK11B|PAX7|MUC1
GeneOntologyBiologicalProcess	GO:0061138	morphogenesis of a branching epithelium	3.4241952317999e-08	5.35728452578304e-05	5.8919773126488e-06	0.000170867342066815	20720	252	205	15	 	 	SOX9|SPRY2|PDGFA|SRC|LAMA1|ST14|FZD5|GLI2|HNF1B|SFRP2|CELSR1|TP63|LRP5|SMO|CSMD1
GeneOntologyBiologicalProcess	GO:0009792	embryo development ending in birth or egg hatching	4.05571798596294e-08	6.13381518237625e-05	6.7460109166517e-06	0.000202380327499551	20720	1281	205	35	 	 	SOX9|CDX1|GATA6|MECOM|HMGCS2|SSBP3|FOXA3|TTN|LRP1B|ZEB2|ST14|HOXA3|HOXB6|HOXC4|FZD5|GLI2|DMBT1|HSD17B2|HNF1A|HNF1B|SFRP2|DEAF1|FN1|SALL4|SKI|DLL1|CELSR1|KMT2D|EGFR|ANKRD11|LRP5|SMO|CDK11B|PAX7|MUC1
GeneOntologyBiologicalProcess	GO:0032528	microvillus organization	4.45320480148613e-08	6.40054270837913e-05	7.03935963171517e-06	0.000222214919594158	20720	35	205	7	 	 	TNIK|MYO1A|CDHR2|CDHR5|HNF4A|VIL1|USH1C
