Category	ID	Name	PValue	QValueFDRBY	QValueFDRBH	QValueBonferroni	TotalGenes	GenesInTerm	GenesInQuery	GenesInTermInQuery	Source	URL	Genes
GeneOntologyMolecularFunction	GO:0008092	cytoskeletal protein binding	1.90059993444243e-07	0.000828816802398849	0.000118217315922319	0.000118217315922319	19963	1123	157	27	 	 	VIL1|SYNPO2|MYH11|MYLK|ANK2|MAP2|SYNM|MYO7B|STXBP5L|SYNE1|LRRK2|SORBS1|JAKMIP3|SHROOM4|CCDC88C|DES|NDRG1|MYL9|UNC5C|KCNMA1|LMOD1|CDH1|USH2A|TNS1|CNN1|TBCD|HSPB7
GeneOntologyMolecularFunction	GO:0005198	structural molecule activity	1.96189248178483e-06	0.00427772679546121	0.000610148561835081	0.00122029712367016	19963	892	157	22	 	 	KRT4|KRT7|KRT13|MYH11|SORBS2|ANK2|MAP2|SYNM|OGN|PGM5|FGL2|SLIT2|DES|THBS4|MYL9|MGP|HMCN1|MUC17|PRELP|HSPB6|RIMS2|TNXB
GeneOntologyMolecularFunction	GO:0008201	heparin binding	3.71264752692381e-06	0.00539672517071423	0.00076975558724887	0.00230926676174661	19963	197	157	10	 	 	SFRP1|CXCL13|RSPO3|SLIT2|THBS4|PRELP|CCL2|LTF|MMP7|TNXB
GeneOntologyMolecularFunction	GO:1901681	sulfur compound binding	1.18363206679895e-05	0.0129040063487748	0.00184054786387236	0.00736219145548946	19963	329	157	12	 	 	SFRP1|CXCL13|HNF4A|RSPO3|SLIT2|THBS4|PRELP|CCL2|LTF|GREM1|MMP7|TNXB
GeneOntologyMolecularFunction	GO:0005201	extracellular matrix structural constituent	2.45442321750234e-05	0.0214065797435752	0.00305330248257291	0.0152665124128646	19963	195	157	9	 	 	OGN|FGL2|SLIT2|THBS4|MGP|HMCN1|MUC17|PRELP|TNXB
GeneOntologyMolecularFunction	GO:0003779	actin binding	3.96511430821601e-05	0.0288185614668877	0.0041105018328506	0.0246630109971036	19963	497	157	14	 	 	VIL1|SYNPO2|MYH11|MYLK|MAP2|MYO7B|SYNE1|LRRK2|SORBS1|SHROOM4|KCNMA1|LMOD1|TNS1|CNN1
GeneOntologyMolecularFunction	GO:0005539	glycosaminoglycan binding	6.03741406925797e-05	0.0376115091192296	0.0053646736443978	0.0375527155107846	19963	272	157	10	 	 	SFRP1|CXCL13|RSPO3|SLIT2|THBS4|PRELP|CCL2|LTF|MMP7|TNXB
GeneOntologyMolecularFunction	GO:0015459	potassium channel regulator activity	0.000108763666183898	0.0592873021237366	0.00845637504579804	0.0676510003663844	19963	60	157	5	 	 	ANK2|ABCC9|CAV1|SGK2|KCNMB1
GeneOntologyMolecularFunction	GO:0005509	calcium ion binding	0.000136454917171703	0.0661172097833934	0.00943055094231103	0.0848749584807992	19963	777	157	17	 	 	VIL1|CDHR2|CALML3|FAT3|VWCE|PCDH17|SLIT2|FREM2|S100P|THBS4|MYL9|MGP|HMCN1|AOC3|LRP2|PLA2G4F|CDH1
GeneOntologyMolecularFunction	GO:0008307	structural constituent of muscle	0.000391242502819965	0.162837172275223	0.0232260897499197	0.243352836754018	19963	44	157	4	 	 	MYH11|SORBS2|SYNM|MYL9
